genes,reaction,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,Vmin,Vmax,PFBAflux,kcat,MW,Acetyl,Phos
A4GALT,A4GALTc,1,0.3889356,1,0.000114378,639,7982.336216,0.000479067,0,0,0,0,4.523561956,40499,0,0
A4GALT,A4GALTg,1,0.3889356,1,8.46046E-05,227,165.2302981,0.000356677,0,0,0,0,4.523561956,40499,0,0
A4GNT,A4GNT1g,1,0.3889356,1,8.45678E-05,226,40.24858283,0.000346679,0,0,0,0,4.523561956,39497,0,0
A4GNT,A4GNT2g,1,0.3889356,1,8.45678E-05,226,40.24858283,0.000346679,0,0,0,0,4.523561956,39497,0,0
AACS,AACOAT,1,0.388935607,1,0.000102514,367,2385.674165,0.000403276,1,-741.1144648,900,0.955551859,4.523561956,75144,0,0
AACS,ACS,1,0.388935607,1,0.00010273,378,2919.756698,0.000417299,0,0,900,0,4.523561956,75144,0,0
AACS,ACS2,1,0.388935607,1,0.0001008,366,4409.323308,0.000433068,0,0,0,0,4.523561956,75144,0,0
AADAC,EGMESTr,1,0.3889356,1,8.45586E-05,142,2015.001622,0.000456122,0,0,0,0,12.39070637,45734,0,0
AANAT,SRTNACT,1,0.3889356,1,0.000118544,735,9138.743958,0.000585544,0,0,0,0,4.694880193,23344,0,0
AASS,SACCD3m,1,0.3889356,0.976744186,8.98845E-05,261,686.9765125,0.000414477,0,0,0.03958442,0.03958442,4.523561956,102132,0,0
AASS,SACCD4m,1,0.3889356,0.976744186,8.97496E-05,257,484.7614887,0.000402407,0,0,0.03958442,0.03958442,4.523561956,102132,0,0
ABCA1,CHSTEROLt,1,0.3889356,0.988372093,0.000125205,898,8184.815004,0.000663511,0,0,0.068371483,0,4.523561956,254302,0,0
ABCA1,CHSTEROLtg,1,0.3889356,0.988372093,0.000125164,897,4997.174366,0.00063051,0,0,0,0,4.523561956,254302,0,0
ABCB11,CHOLATEt3,1,0.388935604,1,0.000125043,896,4731.233049,0.000627939,0,0,0,0,4.523561956,146407,0,0
